Investor_ID,Longevity,Female,Age,Income,ProfManage,Diversification,Affordability,Liquidity,Growth,Trustworthiness,Technology,Integrity,BrandValue,AUM,Persona_Cluster,Recommended_Fund_Type,Recommended_Distributor_To_Contact
64,25,0,3,4,7,6,1,0,6,6,2,6,7,18829337,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
65,1,1,1,1,1,2,6,4,3,3,5,2,2,99925,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
66,1,1,1,1,2,1,6,3,4,2,6,2,1,100059,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
67,8,1,2,1,1,2,6,5,4,4,2,4,2,131901,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
68,1,1,1,2,2,1,4,4,5,2,7,2,1,245820,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
69,9,1,2,2,4,3,5,6,5,3,5,3,4,2159419,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
70,10,1,2,2,3,4,5,6,6,3,6,3,4,2368195,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
71,12,1,2,2,4,4,4,5,5,2,6,2,4,2662068,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
72,18,1,3,2,7,7,3,7,7,5,2,7,6,4468700,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
73,4,1,1,3,2,3,2,4,5,4,6,3,3,1548431,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
74,12,1,2,3,4,4,2,3,6,4,3,4,3,4257507,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
75,13,1,2,3,3,4,3,3,5,5,2,3,4,4344026,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
76,14,1,2,3,3,4,1,3,7,4,2,4,4,4134314,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
77,16,1,2,3,4,4,2,3,5,5,1,3,3,4885544,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
78,23,1,3,3,6,4,1,0,7,7,1,7,6,7674243,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
79,7,1,1,4,2,6,1,1,5,3,7,2,3,4051187,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
80,25,1,3,4,7,6,1,0,6,6,2,6,7,13192860,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
81,2,0,1,2,2,1,4,4,5,2,7,2,1,273423,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
82,4,0,1,3,2,3,2,4,5,4,6,3,3,1311080,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
83,5,0,1,4,2,6,1,1,5,3,7,2,3,3358355,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
84,10,0,2,2,4,4,4,5,5,2,6,2,4,2719604,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
85,12,0,2,3,4,4,2,3,6,4,3,4,3,4897052,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
86,12,0,2,3,3,4,1,3,7,4,2,4,4,4187312,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
87,16,0,2,4,3,6,0,1,5,4,5,2,2,6568150,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
88,19,0,3,2,6,6,3,6,6,6,2,6,7,4730690,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
89,22,0,3,3,7,5,0,0,5,7,2,6,7,7223822,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
90,25,0,3,4,7,6,1,0,6,6,2,6,7,18989323,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
91,1,1,1,2,2,1,4,4,5,2,7,2,1,253314,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
92,4,1,1,3,2,3,2,4,5,4,6,3,3,1561308,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
93,7,1,1,4,2,6,1,1,5,3,7,2,3,4053894,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
94,10,1,2,2,3,4,5,6,6,3,6,3,4,2317957,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
95,16,1,2,3,4,4,2,3,5,5,1,3,3,4848656,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
96,13,1,2,3,3,4,3,3,5,5,2,3,4,4339334,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
97,18,1,3,2,7,7,3,7,7,5,2,7,6,4481290,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
98,23,1,3,3,6,4,1,0,7,7,1,7,6,7496328,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
99,12,1,2,2,4,4,4,5,5,2,6,2,4,2676675,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
100,25,1,3,4,7,6,1,0,6,6,2,6,7,12589420,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
101,1,0,1,1,1,2,6,4,3,3,5,2,2,98066,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
102,2,0,1,1,2,1,6,3,4,2,6,2,1,99982,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
103,8,0,2,1,0,1,7,5,3,3,3,4,3,180003,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
104,8,0,2,1,1,2,6,5,4,4,2,4,2,159847,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
105,18,0,3,1,2,0,7,7,3,6,0,6,6,459716,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
106,2,0,1,2,2,1,4,4,5,2,7,2,1,273744,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
107,9,0,2,2,4,3,5,6,5,3,5,3,4,2253640,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
108,9,0,2,2,3,4,5,6,6,3,6,3,4,2366143,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
109,10,0,2,2,4,4,4,5,5,2,6,2,4,2666990,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
110,11,0,2,2,4,3,6,5,4,2,5,1,4,2830244,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
111,19,0,3,2,6,6,3,6,6,6,2,6,7,4711712,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
112,19,0,3,2,7,7,3,7,7,5,2,7,6,4498405,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
113,4,0,1,3,2,3,2,4,5,4,6,3,3,1350190,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
114,4,0,1,3,2,4,1,3,5,4,7,3,3,1650520,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
115,12,0,2,3,4,4,2,3,6,4,3,4,3,4903220,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
116,13,0,2,3,3,4,3,3,5,5,2,3,4,4425574,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
117,12,0,2,3,3,4,1,3,7,4,2,4,4,4204598,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
118,23,0,3,3,6,5,1,2,6,6,1,7,6,7906324,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
119,22,0,3,3,7,5,0,0,5,7,2,6,7,7128283,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
120,24,0,3,3,6,4,1,0,7,7,1,7,6,7434080,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
121,5,0,1,4,2,6,1,1,5,3,7,2,3,3381440,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
122,16,0,2,4,3,6,0,1,5,4,5,2,2,6568765,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
123,24,0,3,4,6,7,2,1,6,6,1,7,6,16954590,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
124,25,0,3,4,7,6,1,0,6,6,2,6,7,18713008,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
125,1,1,1,1,1,2,6,4,3,3,5,2,2,99265,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
126,1,1,1,1,2,1,6,3,4,2,6,2,1,99104,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
127,8,1,2,1,1,2,6,5,4,4,2,4,2,134444,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
128,1,1,1,2,2,1,4,4,5,2,7,2,1,244301,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
129,9,1,2,2,4,3,5,6,5,3,5,3,4,2170941,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
130,10,1,2,2,3,4,5,6,6,3,6,3,4,2319018,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
131,12,1,2,2,4,4,4,5,5,2,6,2,4,2677758,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
132,18,1,3,2,7,7,3,7,7,5,2,7,6,4462715,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
133,4,1,1,3,2,3,2,4,5,4,6,3,3,1559278,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
134,12,1,2,3,4,4,2,3,6,4,3,4,3,4320129,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
135,13,1,2,3,3,4,3,3,5,5,2,3,4,4355445,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
136,14,1,2,3,3,4,1,3,7,4,2,4,4,4193470,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
137,16,1,2,3,4,4,2,3,5,5,1,3,3,4851698,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
138,23,1,3,3,6,4,1,0,7,7,1,7,6,7499439,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
139,7,1,1,4,2,6,1,1,5,3,7,2,3,4016462,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
140,25,1,3,4,7,6,1,0,6,6,2,6,7,12860421,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
141,1,0,1,1,1,2,6,4,3,3,5,2,2,98089,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
142,2,0,1,1,2,1,6,3,4,2,6,2,1,99447,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
143,8,0,2,1,0,1,7,5,3,3,3,4,3,180228,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
144,8,0,2,1,1,2,6,5,4,4,2,4,2,160091,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
145,18,0,3,1,2,0,7,7,3,6,0,6,6,459691,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
146,2,0,1,2,2,1,4,4,5,2,7,2,1,273584,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
147,9,0,2,2,4,3,5,6,5,3,5,3,4,2315683,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
148,9,0,2,2,3,4,5,6,6,3,6,3,4,2453502,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
149,10,0,2,2,4,4,4,5,5,2,6,2,4,2788940,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
150,11,0,2,2,4,3,6,5,4,2,5,1,4,2879129,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
151,19,0,3,2,6,6,3,6,6,6,2,6,7,4763675,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
152,19,0,3,2,7,7,3,7,7,5,2,7,6,4503629,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
153,4,0,1,3,2,3,2,4,5,4,6,3,3,1301663,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
154,4,0,1,3,2,4,1,3,5,4,7,3,3,1649093,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
155,12,0,2,3,4,4,2,3,6,4,3,4,3,4871760,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
156,13,0,2,3,3,4,3,3,5,5,2,3,4,4396348,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
157,12,0,2,3,3,4,1,3,7,4,2,4,4,4202856,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
158,23,0,3,3,6,5,1,2,6,6,1,7,6,7882123,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
159,22,0,3,3,7,5,0,0,5,7,2,6,7,7160018,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
160,24,0,3,3,6,4,1,0,7,7,1,7,6,7447379,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
161,5,0,1,4,2,6,1,1,5,3,7,2,3,3336903,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
162,16,0,2,4,3,6,0,1,5,4,5,2,2,6568241,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
163,24,0,3,4,6,7,2,1,6,6,1,7,6,16678567,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
164,25,0,3,4,7,6,1,0,6,6,2,6,7,18620329,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
165,1,1,1,1,1,2,6,4,3,3,5,2,2,99996,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
166,1,1,1,1,2,1,6,3,4,2,6,2,1,99100,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
167,8,1,2,1,1,2,6,5,4,4,2,4,2,137806,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
168,1,1,1,2,2,1,4,4,5,2,7,2,1,251205,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
169,9,1,2,2,4,3,5,6,5,3,5,3,4,2184134,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
170,10,1,2,2,3,4,5,6,6,3,6,3,4,2373698,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
171,12,1,2,2,4,4,4,5,5,2,6,2,4,2678589,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
172,18,1,3,2,7,7,3,7,7,5,2,7,6,4502199,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
173,4,1,1,3,2,3,2,4,5,4,6,3,3,1540049,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
174,12,1,2,3,4,4,2,3,6,4,3,4,3,4237862,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
175,13,1,2,3,3,4,3,3,5,5,2,3,4,4351395,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
176,14,1,2,3,3,4,1,3,7,4,2,4,4,4155894,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
177,16,1,2,3,4,4,2,3,5,5,1,3,3,4858045,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
178,23,1,3,3,6,4,1,0,7,7,1,7,6,7625112,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
179,7,1,1,4,2,6,1,1,5,3,7,2,3,4011989,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
180,25,1,3,4,7,6,1,0,6,6,2,6,7,12773244,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
181,2,0,1,2,2,1,4,4,5,2,7,2,1,273744,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
182,4,0,1,3,2,3,2,4,5,4,6,3,3,1339050,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
183,5,0,1,4,2,6,1,1,5,3,7,2,3,3352363,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
184,10,0,2,2,4,4,4,5,5,2,6,2,4,2762276,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
185,12,0,2,3,4,4,2,3,6,4,3,4,3,4831368,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
186,12,0,2,3,3,4,1,3,7,4,2,4,4,4244482,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
187,16,0,2,4,3,6,0,1,5,4,5,2,2,6568154,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
188,19,0,3,2,6,6,3,6,6,6,2,6,7,4757276,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
189,22,0,3,3,7,5,0,0,5,7,2,6,7,7156716,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
190,25,0,3,4,7,6,1,0,6,6,2,6,7,19189009,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
191,1,1,1,2,2,1,4,4,5,2,7,2,1,247780,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
192,4,1,1,3,2,3,2,4,5,4,6,3,3,1588396,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
193,7,1,1,4,2,6,1,1,5,3,7,2,3,4064394,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
194,10,1,2,2,3,4,5,6,6,3,6,3,4,2390857,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
195,16,1,2,3,4,4,2,3,5,5,1,3,3,4863115,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
196,13,1,2,3,3,4,3,3,5,5,2,3,4,4421552,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
197,18,1,3,2,7,7,3,7,7,5,2,7,6,4443827,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
198,23,1,3,3,6,4,1,0,7,7,1,7,6,7436730,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
199,12,1,2,2,4,4,4,5,5,2,6,2,4,2661689,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
200,25,1,3,4,7,6,1,0,6,6,2,6,7,12623162,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
201,1,0,1,1,1,2,6,4,3,3,5,2,2,98032,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
202,2,0,1,1,2,1,6,3,4,2,6,2,1,99091,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
203,8,0,2,1,0,1,7,5,3,3,3,4,3,180077,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
204,8,0,2,1,1,2,6,5,4,4,2,4,2,160025,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
205,18,0,3,1,2,0,7,7,3,6,0,6,6,459632,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
206,2,0,1,2,2,1,4,4,5,2,7,2,1,273582,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
207,9,0,2,2,4,3,5,6,5,3,5,3,4,2331541,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
